=== FINAL RESULTS ===
 312.90 | lr=0.06 | decay=1 | batch=16
 250.08 | lr=0.06 | decay=0 | batch=32
 172.84 | lr=0.06 | decay=1 | batch=32
 177.34 | lr=0.06 | decay=0 | batch=64
 151.82 | lr=0.06 | decay=1 | batch=64
 338.26 | lr=0.07 | decay=0 | batch=6
 293.49 | lr=0.07 | decay=1 | batch=6
 320.59 | lr=0.07 | decay=0 | batch=7
 379.38 | lr=0.07 | decay=1 | batch=7
 199.42 | lr=0.07 | decay=0 | batch=8
 374.79 | lr=0.07 | decay=1 | batch=8
 356.07 | lr=0.07 | decay=0 | batch=9
 342.07 | lr=0.07 | decay=1 | batch=9
 367.34 | lr=0.07 | decay=0 | batch=10
 382.73 | lr=0.07 | decay=1 | batch=10
 407.49 | lr=0.07 | decay=0 | batch=11
 395.26 | lr=0.07 | decay=1 | batch=11
 360.84 | lr=0.07 | decay=0 | batch=12
 362.00 | lr=0.07 | decay=1 | batch=12
 373.70 | lr=0.07 | decay=0 | batch=14
 343.34 | lr=0.07 | decay=1 | batch=14
 408.25 | lr=0.07 | decay=0 | batch=16
 394.09 | lr=0.07 | decay=1 | batch=16
 276.47 | lr=0.07 | decay=0 | batch=32
 208.63 | lr=0.07 | decay=1 | batch=32
 198.40 | lr=0.07 | decay=0 | batch=64
 175.09 | lr=0.07 | decay=1 | batch=64
 195.86 | lr=0.08 | decay=0 | batch=6
 252.35 | lr=0.08 | decay=1 | batch=6
 299.38 | lr=0.08 | decay=0 | batch=7
 395.77 | lr=0.08 | decay=1 | batch=7
 249.69 | lr=0.08 | decay=0 | batch=8
 324.54 | lr=0.08 | decay=1 | batch=8
 324.26 | lr=0.08 | decay=0 | batch=9
 320.48 | lr=0.08 | decay=1 | batch=9
 379.79 | lr=0.08 | decay=0 | batch=10
 309.55 | lr=0.08 | decay=1 | batch=10
 307.42 | lr=0.08 | decay=0 | batch=11
 366.60 | lr=0.08 | decay=1 | batch=11
 307.38 | lr=0.08 | decay=0 | batch=12
 341.40 | lr=0.08 | decay=1 | batch=12
 438.60 | lr=0.08 | decay=0 | batch=14
